date,action,pnl,pnlnet,bars_held
2022-04-04,CLOSE,-25.28931943861812,-26.86043626286064,5
2022-04-28,CLOSE,13.31635274887688,11.711697585663146,15
2022-05-18,CLOSE,-81.35831057322606,-82.9518995491408,5
2022-07-07,CLOSE,-32.99488810639373,-34.57546184917971,17
2022-09-29,CLOSE,196.2439130200293,194.6156962932859,35
2022-11-17,CLOSE,238.28663599522582,236.50943853894373,21
2023-01-09,CLOSE,-333.4673785585598,-335.3233313203717,12
2023-02-17,CLOSE,3.6945852489576048,1.8937173194115104,11
2023-04-25,CLOSE,342.10731826810513,340.160343613603,43
2023-06-27,CLOSE,89.10505960391602,87.02725043912567,22
2023-07-06,CLOSE,28.027420856745255,25.857874872506308,2
2023-07-24,CLOSE,31.33284120718116,29.180163285544687,9
2023-09-05,CLOSE,342.5590601281758,340.2368139461083,17
2023-09-11,CLOSE,-94.23467039874956,-96.59553598886245,3
2023-11-16,CLOSE,-261.9583316541339,-264.1051466251357,9
2023-12-13,CLOSE,-98.7718257383028,-100.87351310097458,14
2024-02-26,CLOSE,-15.271303771155598,-17.03119856778133,4
2024-03-11,CLOSE,-194.94886319052895,-196.71977562574975,8
2024-04-23,CLOSE,-61.20686338947312,-63.01522125657372,17
2024-06-13,CLOSE,203.02292689187772,201.1018605342806,34
2024-07-24,CLOSE,-51.71480413364371,-53.67394313647035,11
2024-08-19,CLOSE,42.03167854949452,40.18658749174889,1
2024-09-16,CLOSE,-82.10559629017888,-83.94773461569011,15
2024-10-11,CLOSE,-98.98209236605115,-100.80959051532588,6
2024-11-11,CLOSE,-93.83367040671686,-95.62559201833606,5
2025-01-23,CLOSE,204.65369631253782,202.8061639531293,34
2025-02-05,CLOSE,-98.16947981637192,-100.08440496790102,7
2025-03-17,CLOSE,111.69140757985296,109.7252519203303,22
2025-08-04,CLOSE,1329.530173599252,1326.9968381208757,87
2025-10-02,CLOSE,-220.45100816541384,-223.39616253579942,20
